item_link,item_name,item_price
https://www.ebay.ca/itm/Dumbells-adjustable-24kg-52-5lb-Adjustable-weights/373165921848?hash=item56e26c1638:g:3joAAOSwyG1fRBhg,"""Dumbells adjustable 24kg/52.5lb Adjustable weights""",
https://www.ebay.ca/itm/PowerBlock-Sport-Block-24-Lbs-X1-SINGLE-Dumbbells-Weight-Adjustable-Home-Workout/114249510387?hash=item1a99cd2df3:g:kw0AAOSw-X9ex0PN,"""PowerBlock Sport Block 24 Lbs X1 SINGLE Dumbbells Weight Adjustable Home Workout""",
https://www.ebay.ca/itm/Bowflex-1090-Replacement-Part-Weight-Dial/254338156306?hash=item3b37bc4712:g:t3wAAOSwyu1dXyco,"""Bowflex 1090 Replacement Part-Weight Dial""",
https://www.ebay.ca/itm/Original-7-Pieces-Cuff-Weight-Set/282307261386?hash=item41bad2f3ca:g:XyoAAOSwa~BYYwjC,"""Original 7 Pieces Cuff Weight Set""",
https://www.ebay.ca/itm/New-Barbell-Chrome-44-lb-Adjustable-Dumbbell-Weight-Set-with-Case/143664354828?hash=item217310160c:g:95EAAOSwChpfGvsn,"""New - Barbell - Chrome 44 lb Adjustable Dumbbell Weight Set with Case""",
https://www.ebay.ca/itm/Adjustable-Dumbbell-Weight-Pair-52-5LBS-Fitness-Workout-Gym/143701459796?hash=item2175464354:g:8IwAAOSwNU9fRqgi,"""Adjustable Dumbbell Weight (Pair) 52.5LBS Fitness Workout Gym""",
https://www.ebay.ca/itm/Vintage-Healthways-Cast-Iron-Weights-1-25-Lbs-Dumbell-Barbell-Fitness-Hollywood/164265706015?hash=item263effc21f:g:uAwAAOSw~zde9-Po,"""Vintage Healthways Cast Iron Weights 1.25 Lbs Dumbell Barbell Fitness Hollywood""",
https://www.ebay.ca/itm/25lb-Rubber-Coated-Hex-Dumbbell-25-Pound-Arm-Curl-Free-Weight/274393615308?hash=item3fe3224bcc:g:v5gAAOSwnhZesDWf,"""25lb Rubber Coated Hex Dumbbell 25 Pound Arm Curl Free Weight""",
https://www.ebay.ca/itm/Soozier-4-Piece-Dumbell-Barbell-Weight-Plate-Set-2-x-11lbs-and-2-x-22lbs-Black/283803800634?hash=item421406543a:g:J8wAAOSwODJe9RI~,"""Soozier 4 Piece Dumbell Barbell Weight Plate Set 2 x 11lbs and 2 x 22lbs, Black""",
https://www.ebay.ca/itm/cap-50-lb-olympic-weight-plate-set-2-25-lb-cast-iron-grip-plate-pair/392894542731?hash=item5b7a56f38b:g:h8kAAOSw~-dfIG~f,"""cap 50 lb olympic weight plate set (2) 25 lb cast iron grip plate pair""",
https://www.ebay.ca/itm/Cast-Iron-Dumbbell-25lb-Pounds-Arm-Curl-Single-Exercise-Free-Weight/274381504372?hash=item3fe2697f74:g:slwAAOSw4GdeneWO,"""Cast Iron Dumbbell 25lb Pounds Arm Curl Single Exercise Free Weight""",
https://www.ebay.ca/itm/Weider-15-LB-Dumbbell-Pair-Rubber-Hex-Dumbbells-Weights-30-lbs-Total/133504459534?epid=1901011676&hash=item1f157c630e:g:-zYAAOSwby5et1~f,"""Weider 15 LB Dumbbell Pair Rubber Hex Dumbbells Weights 30 lbs Total""",C $49.50
https://www.ebay.ca/itm/Cap-Standard-Grip-NEW-10-lb-weight-plate-set-of-4-40lb-IN-HAND-ready-to-ship/392764183894?hash=item5b7291d556:g:P10AAOSwi~xfClAh,"""Cap Standard Grip NEW 10 lb weight plate set of 4 ( 40lb ) IN HAND ready to ship""",
https://www.ebay.ca/itm/Chrome-Hex-Rubber-5lb-Dumbbell-Single-Free-Weights/184421774879?hash=item2af064f61f:g:ju8AAOSw8PpfSI8p,"""Chrome Hex Rubber 5lb Dumbbell Single Free Weights""",C $26.29
https://www.ebay.ca/itm/CAP-Hex-Rubber-15-LB-Pound-INDIVIDUAL-15-LB-Dumbbell-Weights-SHIPS-FAST-FREE/124316153607?epid=11038224741&hash=item1cf1d1f707:g:sJsAAOSwy2NfSUEC,"""CAP Hex Rubber 15 LB Pound INDIVIDUAL 15 LB Dumbbell Weights SHIPS FAST FREE""",C $63.09
https://www.ebay.ca/itm/2-Dumbbell-Set-50-Lbs-Plates-Iron-Weights-Solid-Handles-1-hole-55-Pounds-5-2-5/224137087715?hash=item342f9c8ae3:g:UB4AAOSwPYFfP-vg,"""2 Dumbbell Set 50 Lbs Plates Iron Weights Solid Handles  1"" hole 55 Pounds 5 2.5""",C $210.35
https://www.ebay.ca/itm/Weider-10-LB-Dumbbell-Rubber-Coated-Hex-Dumbbells-Weights-Pair-20-Lbs-Total/303667898311?epid=1100993601&hash=item46b40467c7:g:ffwAAOSwuTpfSQvp,"""Weider 10 LB Dumbbell Rubber Coated Hex Dumbbells Weights Pair 20 Lbs Total""",C $73.56
https://www.ebay.ca/itm/2-SIDE-VINTAGE-WEIDER-5-Lbs-IRON-WEIGHTS-PLATES/114252364276?hash=item1a99f8b9f4:g:kkgAAOSwZ1Ze1EzM,"""2 SIDE VINTAGE WEIDER 5 Lbs IRON WEIGHTS PLATES""",
https://www.ebay.ca/itm/52-5lb-Chrome-Black-Plated-Adjustable-Weights-Dumbbell-for-gym-exercise/223553966116?_trkparms=ispr%3D1&hash=item340cdad024:g:qlAAAOSwbUhfSKxC&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkgCVySCgrNFPU8Iu85TabMATzw5hm4MTJBaNrkjuBJtPepMM%2F9BkUoJn3nWltESsIDysenfEKnnD9CsONn6rwdzAgO0XY6NDXXHyQjJVlQyk0C%2B25eGp%2FioZ600lYPy7vTSKaNC3tDrRUe%2F0YFtryhQfy3rqb1aT0AJHHcB%2BWc5utEbNJLisGxGGCEPEbOcm2Z8p%2BiIlsiIO9ytJnFqLMHkOXg0sy7lnkEe5GZe5fQnOXxnI0oAMXyHErff59JF%2Bwo5%2FSPMqOmk6Gd8Si1g8uQDakbRNYDqYNxBAH7X5MC72ps%2BV6eYhCVplNEPZ%2BCJ0oj0yp6MsvgwgikYdAxPM%2FcgthkYuOwbPISM5ghv%2FeIawmx8NRd5TcOuNLkB2ZD84XKlZAMSp8z3PowGtRxaBB8QRG%2BxSA36lbP0r7IZQ5WeaC2%2F6uDlyrflUMVi9KykSoLMLivpomaxAJQrb138BOwMUJQUvCq%2F0QEwMhebCNMOh18%2F8hob1yvGk%2B65J8JKc5%2BflkT9NKizRKIWcqB9d9dgfsbfQxI6Ip0dmaLlrXrtcJXMcRFbCB2c%2FFxWEagLahNvoB4cJSsW1VR1GRiB4gd06MakGYMFO8cQwhYEm%2BofSoc2IsgRuFjnaDmt2viz5PBwk1MFMVj5ofsP2MDA7ohD4M8EtYy1kF0ruyeddhIvu%2FsAkGuUcR7ci5THv8sOgJ7zno1drLRYBZBFZi%2BMexlrooAcNHAd0tUq0lVHfQ4k5nRDGjxoTDsAsErHrlL8iZ&checksum=223553966116350874a4244b478cb34b3b3eddf76dbb,"""52.5lb Chrome Black Plated Adjustable Weights Dumbbell for gym exercise""",C $243.22
https://www.ebay.ca/itm/POWERT-HEX-Neoprene-Coated-Colorful-Dumbbell-Weight-Lifting-Training-One-Pair/184288874795?_trkparms=ispr%3D1&hash=item2ae879112b:g:PgcAAOSwVuheuhIV&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickk8Fd9si%2FIbtWQr%2BhnlRwjDa8m%2FppHvDMt3Ovn3qvFiH3sAk9FaE5cjeISpHTow%2BfjnT%2BeQ85mCmlg%2FvzL4PJ63nqEwWjEwrq3Mtqdhvyu9e4MumAglj9MOmxXm1I5uH%2FVEUe9IG%2FwCmFLHxJEwQpvrnl79kYNfSy%2BsnB5NBhkEOxKVsh817wf6f9pkQ812p30AZ%2BhLG2bkwsAED7AC5GLI%2FjgKNk2X5jdM28cWO9bT2qEIoPF%2F%2BJ1ptmmKmrrN6E3571jO4M%2BxldDncZ0oNrIOIhjfSATb%2F5j00pxpPp%2FCWEXszisOSmd3eX%2Fr2Ywe3m54rhLxNtq51rEgyK5Ap5nJFtNVwFdiMlrW3Gfv%2Bug%2BtyIdGQdsie%2BepR7Oan3JwBHOWWsYmOIivgLs4%2Bspt1B%2BGbQQNIqe2JMPIYEmem1OSFOvuEQWfSKVL3NooMkwvirtqEW62Q%2B6WVxrlO3U11wLuDdKtrmY06hfR19j1VSkerL8Ympmy5Ug8xHvksJt4%2Fk8XKSLivr811t7SHLsvYz0QUakEN%2BwdEL%2Fs69ln2Tw4jQJ%2F2QUwns9UbBVhVu9Q1wXaUl1YqzfcyhNXNPWB%2B96GIVBtzgFwSMSMF09galu%2BAk0Wz8F7G3O9%2F2dyCpeGu1Rcx%2BgZ%2FYhRD08cs77UJ9jZjA3OeAvauZAN2dDOXDIgwl61KJkPwW0eznPcUI1lYZzlIRGLgO5yKJShJmbPDNa653FTO7Ui3cCmXHLjHkyp6BZbxmdYfj2oQjwsPlBa%2FJ&checksum=184288874795350874a4244b478cb34b3b3eddf76dbb,"""POWERT HEX Neoprene Coated Colorful Dumbbell Weight Lifting Training--One Pair""",C $28.91
https://www.ebay.ca/itm/CAP-Hex-Neoprene-10-LB-Pound-Pair-of-Dumbbell-Weights-Set-20-LBS-Total-Weight/324275911999?hash=item4b8059bd3f:g:oEQAAOSwRWdfQhmT,"""CAP Hex Neoprene 10 LB Pound Pair of Dumbbell Weights Set(20 LBS Total Weight)""",C $65.72
https://www.ebay.ca/itm/5-lb-Cast-Iron-Hex-Dumbbells-Set-of-2-Weights-10-lbs-Total/303667850645?hash=item46b403ad95:g:b7QAAOSwRrVfRcI6,"""5 lb Cast Iron Hex Dumbbells Set of 2 Weights (10 lbs Total)""",C $39.44
